Name;Franchise;Type;Number;Barcode
Abraham Sertrakian;Strain, the;POP! Television;280;849803063160
A.C. Slater;Saved By The Bell;POP! Television;315;849803061739
Albus Dumbledore;Harry Potter;POP! Harry Potter;15;849803058913
Joy;Disney: Inside Out;POP! Disney;132;410064589920
Amare Stoudemire;NBA;POP! Sports;17;830395032467
Ant Man;Ant-Man;POP! Marvel;85;849803049638
Ariel;The Little Mermaid;POP! Disney;27;50247271
Ariel Snow White Aurora;Disney;POP! Minis;;849803037581
Arkham Knight;Batman: Arkham Knight;POP! Heroes;73;849803063856
Arya Stark;Game of Thrones;POP! Game of Thrones;9;830395030890
Disgust;Disney: Inside Out;POP! Disney;134;410064590247
At At Driver;Star Wars;POP! Star Wars;92;849803085544
Aveline De Grandpr�;Assassin's Creed;POP! Games;28;849803039219
Batman Vs Superman Glow In The Dark;Dawn of Justice;POP!;2;849803065447
Batman;DC Universe;POP! Heroes;1;830395022017
Batman;DC Universe;POP! Heroes;1;4240387088017
Batman Orange;DC Comics;POP! Heroes;1;849803052461
Battlestar Galactica 1978;Battlestar Galactica;POP! Television;231;849803051228
Baymax;Disney;POP! Disney;111;849803048389
Bender;Futurama;POP! Animation;29;849803052348
Big Bird;Sesame Street;POP! Sesame Street;10;849803071332
Black Widow;Captain America: The Winter Soldier;POP! Marvel;42;849803037895
Jesse Pinkman Beat Up;Breaking Bad;POP! Television;159;849803044602
Brie Nikki Bella;WWE;POP!;WWE;849803054410
Brie Nikki Black Uniform;WWE;POP! WWE;2;849803078041
BMO Noire;Adventure Time;POP! Television;283;849803064853
Bruce Wayne;Gotham;POP! Heroes;77;849803062514
C-3PO;Star Wars;POP! Star Wars;64;849803062194
Captain America Iron Man (Civil War) (2-Pack);Marvel Universe;POP! Marvel;2;849803091590
Captain Jack Sparrow;Pirates of the Caribbean;POP! Disney;172;849803071059
Malcolm Reynolds;Firefly;POP! Television;135;849803041779
Captain Phasma;Star Wars;POP! Star Wars;65;849803062262
Catwoman;The Dark Knight;POP! Heroes;21;4844671026442
Chucky;Evil Dead;POP! Movies;56;830395033624
Cosima Niehaus;Orphan Black;POP! Television;203;849803050344
Conor McGregor;UFC;POP! Sports;1;889698101301
